index,source,reference,seq2seq_output,transformer_output,seq2seq_fluency,seq2seq_faithfulness,seq2seq_hallucination,seq2seq_compression,transformer_fluency,transformer_faithfulness,transformer_hallucination,transformer_compression
521,"pep guardiola has denied claims of a dispute with former bayern munich club doctor hans-wilhelm muller-wohlfahrt, who quit the club on thursday after 'being blamed' for the defeat by porto. the 72-year-old, who had worked at bayern for almost 40 years, sensationally quit the bundesliga club, claiming 'the bond of trust is damaged', but guardiola has played down claims of a feud. 'the reaction is on me, i was disappointed,' he told reporters in the wake of a shock champions league quarter-final d",hans-wilhelm muller-wohlfahrt quit as bayern munich doctor this week . the 72-year-old had worked at the bundesliga club for nearly 40 years . he said the medical department had been blamed for porto defeat . pep guardiola has denied there was a dispute and has taken responsibility for bayern munich's champions league loss .,raheem sterling has been a for the premier league clash . he says he has been the for the . . the . he has a ' of the's side .,new: new: the new york's first-old's united's,,,,0.164,,,,0.037
737,"amanda knox may have finally cleared her name, but eight years of legal battles have left the seattle native penniless, exhausted and traumatized from stress, claims her biographer. 'in prison, she was threatened with rape from a male guard, it was a really terrible experience,' says trial by jury author, douglas preston. 'i think it has really affected her, it's really hard to lead a normal life after that.' scroll down for video . strain and relief: amanda knox spoke outside her parents' home ","amanda knox, 27, and her family have been left in financial difficulties by the fight to clear her name . biographer douglas preston claims the seattle native now suffers ptsd . claims that the knox family have used up the $4 million advance she got for autobiography . he says that despite being declared innocent last month the victory was bittersweet . in late march, knox, 27, and ex-boyfriend raffaele sollecito were acquitted of murder of meredith kercher in november 2007 . pair were convicted of murder in december 2009, before being acquitted in october 2011 and reconvicted in 2014 . spent a total of four years behind bars while they were in italy .","meriam ibrahim,,, she was her in the in the . . she was a to her in her and her . she . she her her to her her and she was ' . she's her to be her . .","new: the new york, a new york and a woman, a woman's wife, the family of the woman . she had been found in the man in the family .",,,,0.195,,,,0.143
740,washington (cnn)chief justice john roberts is back in the spotlight. roberts -- who shocked conservatives nearly three years ago by providing a pivotal vote to uphold obamacare -- once again faces a judicial crossroads in a historic case. the u.s. supreme court will hear oral arguments tuesday in a case that could decide whether gay and lesbian couples nationwide have the constitutional right to marry. the question at the core of obergefell v. hodges is one of the most consequential debates of t,john roberts is at judicial crossroads as high court to hear key same-sex marriage case . case could decide whether same-sex couples nationwide have constitutional right to marry . chief justice disappointed conservatives earlier when he helped uphold obamacare .,"new: obama's supreme court ruling for republicans in the u.s. supreme court . he says he will be a in the, but says he is the . . .","new: the new: ""i's. says . the new york: ""the-year-old's ""i"" the ""the ""the"" the u.s.s"" ""i says .",,,,0.136,,,,0.089
660,"eager customers have waited up to 10 hours overnight to get their hands on prizes including 21inch tvs at the opening of a new aldi store. the company gave away golden tickets to the first 100 people through the door when the store in avlaston, derbyshire, was officially opened at 8am this morning. more than 200 people were found queueing outside the store looking to get their hands on the deals when the ribbon was cut. more than 200 people were found queuing outside the new aldi store when it o","more than 200 people queued up to get their hands on aldi's spot prizes . the company issued golden tickets to first 100 customers through doors . it was to celebrate the launch of a new store in avlaston, derbyshire .",the was found in the of the in the . . . the . the the of a new york . the,new: the new york of the new: a year's first-old has been found in the world cup . the world of the first of a year of the world,,,,0.103,,,,0.136
411,"listeners say the last minutes of numerous shows have been left off versions on the iplayer service . it seems that the bbc has lost the plot with its radio dramas. frustrated listeners say the vital last minutes of numerous shows have been left off versions uploaded to the iplayer service. they branded the problem ‘irritating’, ‘annoying’ and ‘frustrating’ and said it was ruining their enjoyment of the programmes. shows such as dad’s army and hancock’s half hour have all fallen foul of the prob","iplayer listeners say the vital last minutes have been left off radio dramas . shows such as dad's army and hancock's half hour fallen foul of problem . bbc blames system it uses to record programmes, but it's not a new issue .",tesco's ' of the's most of the . . . the . the ' of 'the''' the ' .' .,new: the new york of the world's first-old has been found in the world cup . the world of the first-year-old is a year in the first time of a year .,,,,0.093,,,,0.149
678,"almost 50 people a year die of skin cancer after being exposed to the sun at work in the uk, research shows. it found nearly 250 cases of malignant melanoma are registered each year by those working outside in industries such as construction, agriculture and leisure. a separate study, also commissioned by the institution of occupational safety and health, found there was a 'macho culture' in some parts of the construction industry, with two thirds of workers who spent an average of nearly seven ",50 die each year as a result of being exposed to the sun at work in britain . 250 in jobs like agriculture and construction register skin cancer each year . institution of occupational safety and health says 'macho culture' to blame .,study found in the university of the of of the . . . the . of people were found in a decade of the,new: the new york of the first-old is a year . the first of the world's first-year-old was in the world . the world of a year and the world cup in the first,,,,0.107,,,,0.151
626,"andrea mcveigh, 44, has been left scarred for life after being knocked down by cyclist . a woman has been left scarred for life after being knocked down by a cyclist who was riding on the pavement. pedestrian andrea mcveigh was sent crashing face-first into the concrete after being hit from behind by the rider. the cyclist fled the scene, chased by the 44-year-old's husband after she was left sprawled in a pool of her own blood. the social media manager suffered two three-inch gashes to the midd","andrea mcveigh, 44, was knocked over from behind by speeding cyclist . left in a pool of her blood after crashing face-first into the pavement . she will be scarred for life after suffering two long gashes to forehead . police launch hunt for the mystery rider who did not stop at scene .","police,, 23, was found dead at the hospital in the . . she was found in a car, but she had been a . . the . was a to the and a ' . .","new: the man was found in the new york, a year . he was found on the man in a year in the man . he had been in the family of the man's family .",,,,0.17,,,,0.17
513,"jennifer is a huge fitness fan, and the mother of two has completed triathlons . we reveal how to get the enviable physiques of the stars. this week: jennifer lopez's arms. she's famous for her killer curves, but jennifer lopez's upper-body is as impeccably toned. a huge fitness fan, the mother of two has completed triathlons. she avoids sugar and salt and tries to get eight hours' sleep a night. she claims 'sometimes when i get home and i'm not feeling so great, i make myself go to the gym'. wh","fitness fan jennifer is famous for her curves, but her arms are also toned . the mother-of-two has completed triathlons. she avoids sugar and salt . try modified push-ups which activate the entire upper body .",kate moss has been diagnosed with a range of the . . . the brand . the . the the brand to be a to the the size .,new: the new: a new york-year-old is a 'the-old' with the new york . he was a 'i' with a new: 'i have been found in the first-old .,,,,0.141,,,,0.141
859,"a widow who was left £15million by a high-rolling gambler has launched a multi-million pound lawsuit against his family – claiming she is owed up to £385million more. ruanne dellal says her husband jack was worth at least £400million when he died and the £15million left to her was an ‘absurd presentation’ of his true wealth. the former beauty queen has launched a high court claim against his relatives, in which she claims the property tycoon must have given away vast chunks of his fortune in sec",jack dellal left his entire estate to wife ruanne but it was worth just £15.4m . she claims he was worth £750m and gave his fortune away to his children . mrs dellal has been given the right to sue her in-laws by high court judge . 'black jack' once gambled £1.7million away in a single night .,"harry kane, 31, was diagnosed with a year after being sold for his . . . he has been a to to his wife and his wife . he . he is a to his job for the . .",new: the new: 'i' and the man's 'i was a 'the-year-old' with a 'i,,,,0.19,,,,0.067
136,"bridget klecker, 42, died on friday after being struck by a vehicle fleeing the police in san francisco . a pedestrian was killed and another injured when they were struck by a car fleeing police during a wild chase through san francisco, and the suspects involved were still on the loose saturday. officers tried to stop the suspects' stolen car around 10pm on friday just moments after they committed the latest in a series of robberies while armed with handguns, police said. but the car sped off ","officers were trying to stop suspects in a stolen black toyota friday night after they allegedly committed a series of armed robberies . the car struck and killed bridget klecker, 42, in a crosswalk . car hit and injured a second pedestrian and struck a car before fleeing . car was found unattended later that night and three male suspects were still at large as of friday .","police say, police say the a man, a man was shot dead in the . . police say they had been charged with a woman's car . police . the police have been charged in a car and the a . .","new: the new york, a new york and the new: a woman's wife of the man's family . he had been found in the man in a year .",,,,0.194,,,,0.134
811,"v.stiviano, the alleged mistress of clippers owner donald sterling, who he showered with expensive gifts, has been ordered to pay his wife $2.6million. los angeles judge richard fruin jr. awarded shelly sterling most of the nearly $3million she had sought. lawyers for sterling had claimed that money used to buy v. stiviano a house, luxury cars and stocks was her community property the couple had acquired over six decades of marriage. stiviano's lawyer had argued that the gifts were made when don","shelly sterling has been awarded most of the nearly $3 million she had sought to be returned . her lawyers successfully argued that money used to buy v. stiviano a house, luxury cars and stocks was her community property . stiviano's lawyer had argued the gifts were made when donald and shelly sterling were separated . ruling comes nearly a year after stiviano's recording of donald sterling making racially offensive remarks that cost him ownership of the clippers . shelly had filed the suit about a month before the recording of donald telling stiviano not to associate with black people created an uproar .","harry kane, 31, was diagnosed with his girlfriend rocio oliva . . he was diagnosed for his job . he has been a to to the . . .","new: new: the new york's new: ""i's. says . he says he says she says he was 'i'",,,,0.136,,,,0.085
76,"watford dramatically clinched promotion to the premier league on saturday on a typically manic afternoon in the championship - and insist they're well-equipped to stay in the top flight. slavisa jokanovic's men beat brighton 2-0 at the amex stadium in the early kick-off and were hoping that middlesbrough lost plus norwich failing to win. both those results came in during a sensational final five minutes, with fulham beating aitor karanka's boro 4-3 in stoppage time after rotherham had equalised ",watford have sealed an automatic return to the premier league following their 2-0 win at brighton and middlesbrough's 4-3 loss at fulham . players celebrated wildly on the team-bus as the news came in . defender tommie hoban is confident that the team has what it takes to stay up next season and insists they already have a strong squad to build on .,gareth bale scored twice in the champions league on saturday . the . . the first goal of the the and the . the the world cup .,new: the world cup of the world's first-old is a year . the first-year-old has been in the first of a year in a year's united in the world .,,,,0.127,,,,0.136
636,"former valencia striker aritz aduriz denied his old team victory with a last-gasp equaliser for athletic bilbao at san mames stadium. aduriz pounced in the 90th minute to secure a 1-1 draw after valencia had been reduced to 10 men. nicolas otamendi had harshly received a straight red card eight minutes earlier for a high challenge, and valencia were unable to hold out in his absence. athletic bilbao aritz aduriz scored a 90th minute equaliser to deny his former club valencia victory . substitute",valencia were held to a 1-1 draw by athletic bilbao after aritz aduriz netted . getafe boosted survival chances with 1-0 win over strugglers elche . felipe caicedo scored a brace in espanyol's 3-0 defeat of villarreal .,gareth bale scored twice goals in the champions league table . the . . the scored twice in the bundesliga-trick . the champions . the,new: the world cup of the world's first-old's united in the first-year-old has been in a year . the first of a first of the first,,,,0.114,,,,0.118
